Date;Event Description;Country;Country ISO;Province;Latitude;Longitude;Geo Precision;Location Where Sexual Violence Was Committed;Reported Perpetrator;Reported Perpetrator Name;Single Or Multiple Perpetrators;Weapon Carried/Used;Survivor Or Victim;Survivor Or Victim Sex;Adult Or Minor;Type Of Sexual Violence;Sexual Violence Context;Classification of Sexual Violence;Number of Reported Victims;Reported Deaths Following the Sexual Violence;SIND Event ID;Date Event Entered;Date Event Modified
45651;GBV;South Africa;ZAF;Western Cape;;;censored;During Arrest or Detention;Police;South African Police;Single Perpetrator;No Information on the Weapon Used;Civilian;Female;Adult;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;89523;45726;45839
45671;GBV;South Africa;ZAF;Western Cape;;;censored;Police Station;Police;South African Police;Single Perpetrator;No Information on the Weapon Used;Civilian;Female;Adult;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;89524;45726;45839
44201;GBV;South Africa;ZAF;Eastern Cape;;;censored;No Information;Police;South African Police;Single Perpetrator;Firearms;Civilian;Female;Minor;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;30446;44582;45839
45459;GBV;South Africa;ZAF;Western Cape;;;censored;Police Station;Police;South African Police;Single Perpetrator;Firearms;Civilian;Male;Minor;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;61136;45504;45839
45345;GBV;South Africa;ZAF;Northern Cape;;;censored;Police Station;Police;South African Police;Single Perpetrator;Firearms;Civilian;Female;Adult;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;46424;45419;45839
44752;GBV;South Africa;ZAF;Eastern Cape;;;censored;During Arrest or Detention;Police;South African Police;Multiple Perpetrators;Other Weapon;Civilian;Male;Adult;Rape;SV By Security Personnel;Gang Sexual AssaultGang Sexual Assault;1;;46587;45427;45839
44532;GBV;South Africa;ZAF;Western Cape;;;censored;During Arrest or Detention;Police;South African Police;Multiple Perpetrators;Firearms;Civilian;Male;Adult;Rape;SV By Security Personnel;Gang Sexual AssaultGang Sexual Assault;1;;30832;44591;45839
44526;GBV;South Africa;ZAF;KwaZulu-Natal;;;censored;During Arrest or Detention;Police;South African Police;Multiple Perpetrators;Firearms;Civilian;Female;Adult;Sexual Assault;SV By Security Personnel;Gang Sexual AssaultGang Sexual Assault;1;;30454;44582;45839
44520;GBV;South Africa;ZAF;Eastern Cape;;;censored;During Arrest or Detention;Police;South African Police;Single Perpetrator;Firearms;Civilian;Female;Adult;Rape;SV By Security Personnel;Single Rape/Sexual Assault ;1;;30453;44582;45839
45548;GBV;South Africa;ZAF;Eastern Cape;;;censored;Survivors or Victims Home;Police;South African Police;Multiple Perpetrators;Firearms;Civilian;Female;Adult;Unwanted Sexual Touching;SV By Security Personnel;Intimidation;1;;85215;45605;45839
45118;GBV;South Africa;ZAF;Western Cape;;;censored;Survivors or Victims Home;NSA;Unidentified Armed Actor;Multiple Perpetrators;Firearms;Civilian;Female;Adult;Rape;CRSV;Gang Sexual AssaultGang Sexual Assault;1;;45332;45379;45480
45671;GBV;South Africa;ZAF;Western Cape;-33.9;18.4;(2) 25 km Precision ;Police Station;Police;South African Police;Single Perpetrator;No Information on the Weapon Used;Civilian;Female;Adult, ;Rape;SV by security personnel;Single Rape/SV Assault ;1;None;89524;;
45667;GBV;South Africa;ZAF;Limpopo;-24.1;29.4;(2) 25 km Precision ;In Captivity;NSA;Unidentified Armed Actor;No Information;Firearms;Health Worker;Female;Adult, ;Rape;Health Workers Experienced Sexual Violence;No Information;2;None;88740;;
45651;GBV;South Africa;ZAF;Western Cape;-33.9;18.4;(2) 25 km Precision ;Under Arrest/Detention;Police;South African Police;Single Perpetrator;No Information on the Weapon Used;Civilian;Female;Adult, ;Rape;SV by security personnel;Single Rape/SV Assault ;1;None;89523;;
45548;GBV;South Africa;ZAF;Eastern Cape;-33.9;25.5;(2) 25 km Precision ;Victims Home;Police;South African Police;Group Perpetrator;Firearms;Civilian;Female;Adult, ;UnwantedSexualTouching;SV by security personnel;Intimation;1;None;85215;;
45459;GBV;South Africa;ZAF;Western Cape;-33.8;18.5;(2) 25 km Precision ;Police Station;Police;South African Police;Single Perpetrator;Firearms;Civilian;Male;Minor, ;Rape;SV by security personnel;Single Rape/SV Assault ;1;None;61136;;
