,,1 count higher,27,5,2,3,10,14,18,22,26,,,,
,, counts higher,,,,,,,,,,,,,
,,0 count diff,,,,,,,,,,,,,
,,1 count lower,,,,,,,,,,,,,
,, counts lower,,,,,,,,,,,,,
,,Count limit to calculate %,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
17 Community reported serious Crime,,,,,,,,,,,,,,,Select Province
,Comparison - 4th quarter (January to March - 2022 to 2026),,,,,,,,,,,,,,Select offence
,,,,,,,,,,,,,,,
,,Prov Position,RSA Position,Station,District,Province,"January 2022 to 
March 2022","January 2023 to 
March 2023","January 2024 to 
March 2024","January 2025 to 
March 2025","January 2026 to 
March 2026",Count Diff,(%) Change,,
,,RSA,PHO,Sta,Dis,Prov,P1,P2,P3,P4,P5,Dif,Cha,,
,,1,1,Cape Town Central,City of Cape Town District,Western Cape,"2,653","3,079","3,322","3,102","2,824",-278,-9.0%,,
,,2,2,Mitchells Plain,City of Cape Town District,Western Cape,"1,973","2,218","2,116","1,771","1,861",90,5.1%,,
,,3,3,Inanda,eThekwini District,KwaZulu-Natal,"1,379","1,437","1,423","1,506","1,787",281,18.7%,,
,,4,4,Durban Central,eThekwini District,KwaZulu-Natal,"2,037","2,386","2,207","2,044","1,784",-260,-12.7%,,
,,5,5,Mfuleni,City of Cape Town District,Western Cape,"1,433","1,817","1,953","1,938","1,691",-247,-12.7%,,
,,6,6,Park Road,Mangaung District,Free State,"1,903","1,982","1,933","1,806","1,682",-124,-6.9%,,
,,7,7,Midrand,Johannesburg District,Gauteng,"1,420","1,765","1,764","1,736","1,679",-57,-3.3%,,
,,8,8,Honeydew,Johannesburg District,Gauteng,"2,149","1,717","1,838","1,644","1,665",21,1.3%,,
,,9,9,Phoenix,eThekwini District,KwaZulu-Natal,"1,816","1,927","1,979","1,976","1,612",-364,-18.4%,,
,,10,10,Delft,City of Cape Town District,Western Cape,"1,564","1,597","1,640","1,767","1,576",-191,-10.8%,,
,,11,11,Plessislaer,Umgungundlovu District,KwaZulu-Natal,"1,494","1,627","1,544","1,457","1,567",110,7.5%,,
,,12,12,Roodepoort,Johannesburg District,Gauteng,"1,367","1,806","1,858","1,603","1,558",-45,-2.8%,,
,,13,13,JHB Central,Johannesburg District,Gauteng,"2,021","2,231","1,954","1,556","1,505",-51,-3.3%,,
,,14,14,Kraaifontein,City of Cape Town District,Western Cape,"1,450","1,578","1,784","1,578","1,502",-76,-4.8%,,
,,15,15,Chatsworth,eThekwini District,KwaZulu-Natal,"1,284","1,476","1,630","1,827","1,463",-364,-19.9%,,
,,16,16,Rustenburg,Bojanala District,North West,"1,681","1,854","1,807","1,564","1,433",-131,-8.4%,,
,,17,17,Ivory Park,Ekurhuleni District,Gauteng,"1,342","1,411","1,408","1,273","1,407",134,10.5%,,
,,18,18,Kwadukuza,Ilembe District,KwaZulu-Natal,"1,445","1,525","1,520","1,420","1,404",-16,-1.1%,,
,,19,19,Tembisa,Ekurhuleni District,Gauteng,"1,473","1,553","1,423","1,314","1,397",83,6.3%,,
,,20,20,Pinetown,eThekwini District,KwaZulu-Natal,"1,516","1,454","1,493","1,450","1,392",-58,-4.0%,,
,,21,21,Brooklyn,Tshwane District,Gauteng,"1,631","1,489","1,521","1,427","1,359",-68,-4.8%,,
,,22,22,Polokwane,Capricorn District,Limpopo,"1,165","1,300","1,488","1,454","1,342",-112,-7.7%,,
,,23,23,Empangeni,King Cetshwayo District,KwaZulu-Natal,"1,476","1,452","1,399","1,385","1,333",-52,-3.8%,,
,,24,24,Sandton,Johannesburg District,Gauteng,"1,320","1,268","1,530","1,536","1,329",-207,-13.5%,,
,,25,25,Worcester,Cape Winelands District,Western Cape,"1,574","1,601","1,567","1,371","1,306",-65,-4.7%,,
,,26,26,Stellenbosch,Cape Winelands District,Western Cape,"1,428","1,544","1,595","1,498","1,286",-212,-14.2%,,
,,27,27,Umlazi,eThekwini District,KwaZulu-Natal,"1,195","1,263","1,413","1,236","1,285",49,4.0%,,
,,28,28,Thohoyandou,Vhembe District,Limpopo,"1,236","1,459","1,474","1,541","1,285",-256,-16.6%,,
,,29,29,Verulam,eThekwini District,KwaZulu-Natal,"1,158","1,178","1,434","1,295","1,277",-18,-1.4%,,
,,30,30,Seshego,Capricorn District,Limpopo,"1,018","1,221","1,410","1,285","1,276",-9,-0.7%,,
,,,,,,,,,,,,,,,
,,** NB : Station featured in the National TOP30,,,,,,,,,,,,,
