Province;Station;Latitude;Longitude;Risk;2022;2023;2024;2025;2026;TOTAL
Free State;Park Road;-29.11994;26.21159;High;1903;1982;1933;1806;1682;9306
Gauteng;Midrand;-25.997;28.128;High;1420;1765;1764;1736;1679;8364
Gauteng;Honeydew;-26.0732;27.9201;High;2149;1717;1838;1644;1665;9013
Gauteng;Roodepoort;-26.17733;27.97173;High;1367;1806;1858;1603;1558;8192
Gauteng;JHB Central;-26.20676;28.03141;High;2021;2231;1954;1556;1505;9267
Gauteng;Ivory park;-25.99001;28.20162;Med-high;1342;1411;1408;1273;1407;6841
Gauteng;Tembisa;-26.00749;28.22014;High;1473;1553;1423;1314;1397;7160
Gauteng;Brooklyn;-25.75555;28.23751;High;1631;1489;1521;1427;1359;7427
Gauteng;Sandton;-26.08026;28.0615;Med-high;1320;1268;1530;1536;1329;6983
Gauteng;Total;;;;14626;15222;15229;13895;13581;72553
KwaZulu-Natal;Inanda;-29.6968;30.93351;High;1379;1437;1423;1506;1787;7532
KwaZulu-Natal;Durban Central;-29.84249;31.02867;High;2037;2386;2207;2044;1784;10458
KwaZulu-Natal;Phoenix;-29.70143;31.00799;High;1816;1927;1979;1976;1612;9310
KwaZulu-Natal;Plessislaer;-29.64513;30.33879;High;1494;1627;1544;1457;1567;7689
KwaZulu-Natal;Chatsworth;-29.91231;30.88538;High;1284;1476;1630;1827;1463;7680
KwaZulu-Natal;Kwadukuza;-29.34719;31.2843;High;1445;1525;1520;1420;1404;7314
KwaZulu-Natal;Pinetown;-29.81797;30.87201;High;1516;1454;1493;1450;1392;7305
KwaZulu-Natal;Empangeni;-28.74586;31.88623;High;1476;1452;1399;1385;1333;7045
KwaZulu-Natal;Umlazi;-29.96252;30.92848;Med-high;1195;1263;1413;1236;1285;6392
KwaZulu-Natal;Verulam;-29.64474;31.04136;Med-high;1158;1178;1434;1295;1277;6342
KwaZulu-Natal;Total;;;;14800;15725;16042;15596;14904;77067
Limpopo;Polokwane;-23.91312;29.45481;Med-high;1165;1300;1488;1454;1342;6749
Limpopo;Thohoyandou;-22.97234;30.45594;Med-high;1236;1459;1474;1541;1285;6995
Limpopo;Seshego;-23.85429;29.38227;Med-high;1018;1221;1410;1285;1276;6210
Limpopo;Total;;;;3419;3980;4372;4280;3903;19954
North West;Rustenburg;-25.66821;27.24845;High;1681;1854;1807;1564;1433;8339
Western Cape;Cape Town central;-33.92774;18.4231;High;2653;3079;3322;3102;2824;14980
Western Cape;Mitchells Plain;-34.04761;18.62321;High;1973;2218;2116;1771;1861;9939
Western Cape;Mfuleni;-33.98106;18.68742;High;1433;1817;1953;1938;1691;8832
Western Cape;Delft;=33.97502;18.64209;High;1564;1597;1640;1767;1576;8144
Western Cape;Kraaifontein;-33.85696;18.7271;High;1450;1578;1784;1578;1502;7892
Western Cape;Worcester;-33.64546;19.44373;High;1574;1601;1567;1371;1306;7419
Western Cape;Stellenbosch;-33.9356;18.85603;High;1428;1544;1595;1498;1286;7351
Western Cape;Total;;;;12075;13434;13977;13025;12046;64557
SA total;yearly;;;;48504;52197;53360;50166;47549;251776
